id,policy,outcome,rating_policy
204,opportunity_equality,unknown,1
205,opportunity_equality,unknown,4
206,opportunity_equality,unknown,4
207,opportunity_equality,unknown,5
209,opportunity_equality,unknown,4
210,opportunity_equality,unknown,4
211,opportunity_equality,unknown,4
212,opportunity_equality,unknown,4
213,opportunity_equality,unknown,5
214,opportunity_equality,unknown,6
215,opportunity_equality,best,3
216,opportunity_equality,best,5
217,opportunity_equality,best,6
218,opportunity_equality,best,4
220,opportunity_equality,best,4
221,opportunity_equality,best,5
222,opportunity_equality,best,4
223,opportunity_equality,best,5
224,opportunity_equality,best,6
225,opportunity_equality,best,6
226,opportunity_equality,best,4
227,opportunity_equality,best,3
228,opportunity_equality,best,3
229,opportunity_equality,best,6
231,opportunity_equality,best,4
232,opportunity_equality,best,4
233,opportunity_equality,worst,4
234,opportunity_equality,worst,4
235,opportunity_equality,worst,1
236,opportunity_equality,worst,5
237,opportunity_equality,worst,2
238,opportunity_equality,worst,3
239,opportunity_equality,worst,4
240,opportunity_equality,worst,5
242,opportunity_equality,worst,4
243,opportunity_equality,worst,3
244,opportunity_equality,worst,3
245,opportunity_equality,worst,5
246,opportunity_equality,worst,4
247,opportunity_equality,worst,5
248,opportunity_equality,worst,4
249,opportunity_equality,worst,5
250,opportunity_equality,inequity,4
251,opportunity_equality,inequity,4
3,opportunity_equality,inequity,3
4,opportunity_equality,inequity,3
5,opportunity_equality,inequity,4
6,opportunity_equality,inequity,3
7,opportunity_equality,inequity,5
8,opportunity_equality,inequity,4
9,opportunity_equality,inequity,5
10,opportunity_equality,inequity,4
11,opportunity_equality,inequity,1
12,opportunity_equality,inequity,2
14,opportunity_equality,inequity,4
15,opportunity_equality,inequity,4
16,opportunity_equality,inequity,4
17,opportunity_equality,inequity,3
18,opportunity_equality,inequity,3
19,opportunity_equality,unknown,3
20,opportunity_equality,unknown,4
21,opportunity_equality,unknown,2
22,opportunity_equality,unknown,4
23,opportunity_equality,unknown,4
25,opportunity_equality,unknown,4
26,opportunity_equality,unknown,5
27,opportunity_equality,unknown,3
28,opportunity_equality,unknown,4
29,opportunity_equality,unknown,5
30,opportunity_equality,unknown,6
31,opportunity_equality,unknown,3
32,opportunity_equality,unknown,3
33,opportunity_equality,unknown,3
34,opportunity_equality,unknown,4
36,opportunity_equality,unknown,4
37,opportunity_equality,worst,4
38,opportunity_equality,inequity,3
39,opportunity_equality,best,5
40,opportunity_equality,unknown,4
41,opportunity_equality,worst,5
42,opportunity_equality,unknown,4
43,opportunity_equality,best,4
44,opportunity_equality,best,5
45,opportunity_equality,unknown,1
47,opportunity_equality,worst,3
48,opportunity_equality,inequity,4
49,opportunity_equality,unknown,4
50,opportunity_equality,worst,4
51,opportunity_equality,inequity,5
52,opportunity_equality,unknown,4
53,opportunity_equality,best,5
