id,policy,outcome,rating_policy
127,risky,failure,4
128,risky,failure,3
129,risky,inequality,3
130,risky,failure,4
131,risky,inequality,4
132,risky,success,6
133,risky,control,3
134,risky,success,3
136,risky,control,6
137,risky,control,4
138,risky,failure,4
139,risky,failure,2
140,risky,inequality,4
141,risky,inequality,4
142,risky,success,4
143,risky,control,4
144,risky,success,4
145,risky,failure,4
147,risky,control,5
148,risky,success,5
149,risky,failure,5
150,risky,success,4
151,risky,control,5
152,risky,inequality,3
153,risky,failure,4
154,risky,control,5
155,risky,inequality,4
156,risky,success,3
158,risky,control,5
159,risky,success,5
160,risky,inequality,1
161,risky,failure,4
162,risky,control,4
163,risky,inequality,4
164,risky,success,5
165,risky,failure,3
166,risky,control,4
167,risky,success,4
169,risky,inequality,5
170,risky,failure,5
