number,Eval,kind_of_answer,outcome,Distribute,Distributed,Distribute_Distributed,cond,univ,type,typeMatsumoto,typeDistribute,typeDistributed,Order,typeQuatro,sex,age,ID,SVO,EC,PD,PT,FS,HL,EG
no55,4,Ega,unknown,3,2,5,4,h,32,Other,O,E,Opp_First,OE,f,20,h4720,pro,4.857142857,4.571428571,4.714285714,4.714285714,8,3
no56,5,Ega,unknown,4,2,6,4,h,42,Other,O,E,Opp_First,OE,m,20,h301,pro,2,2.857142857,4.714285714,6,7,4
no57,4,Ega,unknown,2,3,5,4,h,23,Other,E,O,Opp_First,EO,m,20,h5120,pro,4.428571429,4,5.571428571,4.428571429,8,3
no58,4,Ega,unknown,2,2,4,4,h,22,E,E,E,Opp_First,EE,m,21,h5220,pro,4.428571429,3.428571429,4.714285714,3.428571429,6,2
no59,5,Ega,unknown,3,3,6,4,h,33,O,O,O,Opp_First,OO,m,22,h4920,pro,5.428571429,5,4.857142857,4.857142857,5,5
no60,4,Ega,unknown,1,2,3,4,h,12,E,E,E,Opp_First,EE,f,21,h5420,ind,3,3,3.428571429,5.857142857,9,5
no61,4,Ega,unknown,2,1,3,4,h,21,E,E,E,Opp_First,EE,m,19,h5020,pro,3.285714286,4.714285714,3.857142857,4.857142857,7,1
no62,4,Ega,unknown,2,2,4,4,h,22,E,E,E,Opp_First,EE,f,19,h5320,pro,4.714285714,5.285714286,4,5.142857143,8,2
no63,5,Ega,unknown,1,2,3,4,h,12,E,E,E,Opp_First,EE,m,20,h5520,pro,5.571428571,3.285714286,4.285714286,5.142857143,7,2
no64,5,Ega,unknown,3,1,4,4,h,31,Other,O,E,Opp_First,OE,f,22,h302,ind,5.285714286,4,5.142857143,4.857142857,8,2
no65,2,Ega,unknown,1,4,5,4,h,14,Other,E,O,Opp_First,EO,m,20,h303,pro,5.571428571,2.571428571,3.714285714,2.142857143,5,6
no66,5,Ega,best,1,1,2,5,h,11,E,E,E,Opp_Second,EE,f,18,h5720,pro,4.142857143,5.285714286,4.142857143,6,10,1
no67,5,Ega,best,2,2,4,5,h,22,E,E,E,Opp_Second,EE,f,20,h5620,pro,4.428571429,3.285714286,4.428571429,4.714285714,8,1
no68,1,Ega,best,4,4,8,5,h,44,O,O,O,Opp_Second,OO,m,19,h6020,ind,4.142857143,3,5,2.285714286,4,5
no69,4,Ega,best,4,4,8,5,h,44,O,O,O,Opp_Second,OO,m,23,h6120,pro,2.857142857,3.428571429,4.714285714,3.285714286,5,5
no70,4,Ega,best,2,2,4,5,h,22,E,E,E,Opp_Second,EE,m,22,h6220,pro,4,2.714285714,4.571428571,4,,6
no71,3,Ega,best,1,1,2,5,h,11,E,E,E,Opp_Second,EE,m,19,h5920,pro,5.857142857,3.714285714,3.285714286,6.285714286,8,4
no72,5,Ega,best,1,1,2,5,h,11,E,E,E,Opp_Second,EE,f,22,h5820,ind,5.285714286,3.857142857,4,5,7,1
no73,2,Ega,best,4,2,6,5,h,42,Other,O,E,Opp_Second,OE,m,19,h6340,ind,3,2.428571429,3.857142857,3.571428571,8,3
no74,4,Ega,best,4,4,8,5,h,44,O,O,O,Opp_Second,OO,m,19,h6740,pro,4,4,3.571428571,1.428571429,7,5
no75,5,Ega,best,2,3,5,5,h,23,Other,E,O,Opp_Second,EO,m,21,h6440,pro,4.285714286,3.714285714,4.714285714,4.142857143,6,1
no76,5,Ega,best,1,1,2,5,h,11,E,E,E,Opp_Second,EE,f,21,h6540,pro,4.142857143,2.857142857,4.571428571,2.142857143,9,1
no77,4,Ega,best,3,2,5,5,h,32,Other,O,E,Opp_Second,OE,m,19,h6940,ind,5.428571429,3.428571429,5.285714286,5,4,5
no78,5,Ega,best,2,3,5,5,h,23,Other,E,O,Opp_Second,EO,m,20,h11560,ind,5.571428571,3.142857143,5.571428571,4.857142857,9,5
no79,5,Ega,best,2,1,3,5,h,21,E,E,E,Opp_Second,EE,f,21,h11460,ind,5.142857143,3.571428571,4.285714286,6.285714286,5,2
no80,5,Ega,best,2,2,4,5,h,22,E,E,E,Opp_Second,EE,m,20,h12110,pro,4.142857143,3.857142857,3.428571429,4.428571429,8,2
no81,4,Ega,best,1,3,4,5,h,13,Other,E,O,Opp_Second,EO,f,18,h12730,pro,4.571428571,3.714285714,3.857142857,4.142857143,10,5
no82,3,Ega,worst,2,1,3,6,h,21,E,E,E,Opp_Second,EE,f,20,h7310,ind,3.428571429,3,2.428571429,6.428571429,8,3
no83,4,Ega,worst,2,2,4,6,h,22,E,E,E,Opp_Second,EE,f,21,h7510,pro,5.285714286,5.285714286,4.428571429,5,6,3
no84,5,Ega,worst,2,3,5,6,h,23,Other,E,O,Opp_Second,EO,m,18,h7210,ind,3.571428571,4.857142857,3.142857143,5,7,4
no85,1,Ega,worst,4,4,8,6,h,44,O,O,O,Opp_Second,OO,m,21,h7110,pro,3,6,3.428571429,5,5,5
no86,5,Ega,worst,1,1,2,6,h,11,E,E,E,Opp_Second,EE,m,19,h6910,pro,2.142857143,1.142857143,5.142857143,5.285714286,8,1
no87,3,Ega,worst,3,4,7,6,h,34,O,O,O,Opp_Second,OO,m,20,h7410,pro,2,5.571428571,2.714285714,2.142857143,8,4
no88,5,Ega,worst,2,3,5,6,h,23,Other,E,O,Opp_Second,EO,f,20,h7010,pro,4.571428571,4.857142857,4.428571429,4.142857143,4,3
no89,4,Ega,worst,4,1,5,6,h,41,Other,O,E,Opp_Second,OE,m,21,h7830,ind,2.714285714,4.428571429,5.142857143,4.857142857,7,2
no90,5,Ega,worst,2,2,4,6,h,22,E,E,E,Opp_Second,EE,m,19,h7930,ind,5.142857143,4.714285714,4.428571429,4,5,3
no91,5,Ega,worst,3,3,6,6,h,33,O,O,O,Opp_Second,OO,m,21,h8030,ind,4.714285714,4.285714286,4.428571429,5.428571429,7,5
no92,4,Ega,worst,2,1,3,6,h,21,E,E,E,Opp_Second,EE,f,19,h7610,ind,6.142857143,4.857142857,4.428571429,6.285714286,5,5
no93,5,Ega,worst,2,2,4,6,h,22,E,E,E,Opp_Second,EE,f,18,h7710,ind,6.428571429,4.714285714,5.428571429,3.857142857,7,1
no94,6,Ega,worst,1,1,2,6,h,11,E,E,E,Opp_Second,EE,m,21,h11760,pro,4.142857143,3.714285714,3.571428571,5,5,6
no95,3,Ega,worst,3,3,6,6,h,33,O,O,O,Opp_Second,OO,m,19,h11660,ind,4.571428571,4.142857143,4.571428571,5.714285714,8,2
no96,4,Ega,worst,1,2,3,6,h,12,E,E,E,Opp_Second,EE,f,19,h12210,pro,6.285714286,5.571428571,5.142857143,5.285714286,8,2
no97,3,Ega,worst,3,3,6,6,h,33,O,O,O,Opp_Second,OO,m,25,h12830,pro,3,2.285714286,3.142857143,5.142857143,4,4
no98,4,Ega,inequity,1,1,2,7,h,11,E,E,E,Opp_Second,EE,f,22,h8240,pro,4.142857143,4.142857143,4.714285714,3.142857143,8,1
no99,4,Ega,inequity,4,4,8,7,h,44,O,O,O,Opp_Second,OO,f,19,h8640,pro,4.428571429,4.285714286,4.428571429,5.714285714,3,6
no100,5,Ega,inequity,4,1,5,7,h,41,Other,O,E,Opp_Second,OE,m,20,h8130,ind,2.571428571,5.428571429,3.714285714,5.857142857,5,3
no101,5,Ega,inequity,2,2,4,7,h,22,E,E,E,Opp_Second,EE,m,20,h8340,pro,4.857142857,5.142857143,5.571428571,2,8,2
