number,Eval,kind_of_answer,outcome,Distribute,Distributed,Distribute_Distributed,cond,univ,type,typeMatsumoto,typeDistribute,typeDistributed,Order,typeQuatro,sex,age,ID,SVO,EC,PD,PT,FS,HL,EG
no113,3,Opp,inequity,3,2,5,7,h,32,Other,O,E,Opp_Second,OE,f,19,h12930,pro,5.571428571,5.142857143,5.428571429,5.714285714,,2
no114,3,Opp,inequity,3,2,5,7,h,32,Other,O,E,Opp_Second,OE,m,23,h13340,other,5.142857143,3.428571429,4.285714286,5.142857143,8,3
no115,3,Opp,unknown,3,1,4,8,h,31,Other,O,E,Opp_Second,OE,m,18,h9360,pro,5.142857143,4.714285714,5.857142857,5.428571429,9,2
no116,4,Opp,unknown,3,3,6,8,h,33,O,O,O,Opp_Second,OO,f,19,h9460,ind,4.714285714,3.857142857,4.285714286,3.571428571,3,4
no117,2,Opp,unknown,4,3,7,8,h,43,O,O,O,Opp_Second,OO,m,19,h9860,pro,4.714285714,2.285714286,4.428571429,5.428571429,5,4
no118,4,Opp,unknown,4,4,8,8,h,44,O,O,O,Opp_Second,OO,m,21,h9960,ind,4.714285714,3.142857143,4.142857143,4,1,5
no119,4,Opp,unknown,2,2,4,8,h,22,E,E,E,Opp_Second,EE,m,20,h9560,ind,3.714285714,4.571428571,2.571428571,3.714285714,8,3
no120,4,Opp,unknown,2,2,4,8,h,22,E,E,E,Opp_Second,EE,m,20,h9760,other,3.142857143,1.714285714,4.428571429,3.142857143,7,3
no121,5,Opp,unknown,2,2,4,8,h,22,E,E,E,Opp_Second,EE,m,20,h9660,ind,4.714285714,4,3.857142857,6.285714286,8,5
no122,3,Opp,unknown,2,2,4,8,h,22,E,E,E,Opp_Second,EE,m,19,h10460,pro,3.428571429,4.714285714,4.142857143,5.857142857,3,3
no123,4,Opp,unknown,3,1,4,8,h,31,Other,O,E,Opp_Second,OE,m,20,h10560,ind,5.285714286,4.285714286,5.285714286,5,5,6
no124,5,Opp,unknown,4,4,8,8,h,44,O,O,O,Opp_Second,OO,m,20,h10360,ind,5,3.428571429,4.857142857,5.571428571,5,6
no125,6,Opp,unknown,4,4,8,8,h,44,O,O,O,Opp_Second,OO,m,18,h10260,pro,4.571428571,1.714285714,3.428571429,2.714285714,5,6
no126,3,Opp,unknown,2,3,5,8,h,23,Other,E,O,Opp_Second,EO,f,20,h10660,other,3.428571429,5.714285714,4,3.428571429,7,2
no127,3,Opp,unknown,2,1,3,8,h,21,E,E,E,Opp_Second,EE,m,20,h10060,pro,4.857142857,4.714285714,4.285714286,5.714285714,7,2
no128,3,Opp,unknown,2,2,4,8,h,22,E,E,E,Opp_Second,EE,f,18,h10160,pro,4.714285714,4.571428571,4.285714286,4.142857143,7,2
no129,4,Opp,unknown,2,2,4,8,h,22,E,E,E,Opp_Second,EE,f,18,h12520,ind,4.857142857,2.571428571,2.857142857,6.285714286,6,2
no130,4,Opp,unknown,2,2,4,8,h,22,E,E,E,Opp_Second,EE,f,19,h13030,pro,4.857142857,5.285714286,4.571428571,3.571428571,7,4
no131,4,Opp,worst,2,3,5,6,t,23,Other,E,O,Opp_Second,EO,m,19,t1,pro,3.571429,3,3.285714,3.428571,8,3
no132,3,Opp,inequity,3,1,4,3,t,31,Other,O,E,Opp_First,OE,f,18,t4,ind,4.142857,2.857143,3.857143,3.857143,7,3
no133,5,Opp,best,2,2,4,5,t,22,E,E,E,Opp_Second,EE,m,23,t5,pro,3.285714,2.857143,3.857143,2.714286,7,3
no134,4,Opp,unknown,1,2,3,8,t,12,E,E,E,Opp_Second,EE,m,26,t6,pro,4,3.571429,3.571429,3.142857,5,3
no135,5,Opp,worst,3,3,6,2,t,33,O,O,O,Opp_First,OO,m,22,t8,pro,5,3,4.428571,3.857143,7,3
no136,4,Opp,unknown,1,2,3,4,t,12,E,E,E,Opp_First,EE,m,22,t9,pro,4.142857,3.285714,4.142857,3.857143,4,5
no137,4,Opp,best,3,3,6,5,t,33,O,O,O,Opp_Second,OO,m,22,t11,pro,4,3.428571,3.142857,3.428571,4,3
no138,5,Opp,best,3,3,6,1,t,33,O,O,O,Opp_First,OO,m,23,t12,pro,3.571429,4,3.285714,4.428571,7,3
no139,1,Opp,unknown,4,4,8,8,t,44,O,O,O,Opp_Second,OO,m,23,t13,pro,3.142857,2.571429,3.285714,3.142857,5,4
no140,3,Opp,worst,2,2,4,6,t,22,E,E,E,Opp_Second,EE,m,21,t14,pro,4.428571,2.857143,4.142857,3.571429,6,4
no141,4,Opp,inequity,3,4,7,3,t,34,O,O,O,Opp_First,OO,m,23,t15,other,3.857143,2.571429,3.428571,3.142857,4,5
no142,4,Opp,unknown,1,3,4,4,t,13,Other,E,O,Opp_First,EO,m,24,t16,pro,4.142857,3.285714,4.285714,3.142857,5,5
no143,4,Opp,worst,1,1,2,2,t,11,E,E,E,Opp_First,EE,f,34,t17,pro,4,3.571429,3.285714,3.428571,10,5
no144,5,Opp,inequity,1,1,2,7,t,11,E,E,E,Opp_Second,EE,m,20,t18,ind,4.142857,2.857143,2.714286,3.428571,7,3
no145,4,Opp,unknown,2,2,4,8,t,22,E,E,E,Opp_Second,EE,m,22,t19,pro,4.142857,3.285714,3,2.714286,8,3
no146,5,Opp,best,2,3,5,5,t,23,Other,E,O,Opp_Second,EO,f,22,t20,ind,3.857143,3,3.142857,3.285714,5,1
no147,5,Opp,best,3,3,6,1,t,33,O,O,O,Opp_First,OO,m,21,t21,pro,3.571429,3,3,3.857143,6,5
no148,5,Opp,unknown,2,3,5,4,t,23,Other,E,O,Opp_First,EO,f,22,t22,pro,4.285714,4.142857,4,3.571429,6,2
no149,5,Opp,worst,1,3,4,6,t,13,Other,E,O,Opp_Second,EO,m,26,t24,pro,3.142857,4.285714,3.428571,3.714286,8,2
no150,3,Opp,worst,3,3,6,2,t,33,O,O,O,Opp_First,OO,f,24,t25,pro,4.142857,3,3.714286,3.857143,5,5
no151,3,Opp,inequity,2,2,4,3,t,22,E,E,E,Opp_First,EE,f,21,t29,pro,4.428571,3.428571,4,4.142857,7,2
no152,4,Opp,inequity,2,2,4,7,t,22,E,E,E,Opp_Second,EE,m,18,t30,ind,4.142857,3.714286,3.285714,3,5,3
no153,4,Opp,inequity,2,2,4,7,t,22,E,E,E,Opp_Second,EE,m,20,t31,ind,3.857143,3.571429,2.714286,3.571429,9,2
no154,4,Opp,unknown,2,2,4,4,t,22,E,E,E,Opp_First,EE,m,21,t42,ind,4,4.285714,3,3.428571,8,2
no155,5,Opp,unknown,4,4,8,8,t,44,O,O,O,Opp_Second,OO,f,21,t44,pro,4.428571,3.571429,3.428571,3.142857,3,5
no156,5,Opp,best,2,3,5,1,t,23,Other,E,O,Opp_First,EO,m,19,t45,pro,4.428571,4.428571,2.857143,3.142857,9,3
no157,4,Opp,worst,1,1,2,6,t,11,E,E,E,Opp_Second,EE,m,22,t47,pro,4.428571,3.857143,3,4.142857,10,3
no158,3,Opp,inequity,1,2,3,3,t,12,E,E,E,Opp_First,EE,f,21,t48,pro,3.857143,4.142857,3.714286,3.571429,9,3
no159,4,Opp,best,1,1,2,5,t,11,E,E,E,Opp_Second,EE,f,22,t51,pro,4,3.857143,4.714286,4.285714,8,2
no160,6,Opp,worst,3,3,6,2,t,33,O,O,O,Opp_First,OO,m,21,t52,ind,4.285714,4,4.142857,3.714286,5,5
no161,4,Opp,unknown,2,2,4,4,t,22,E,E,E,Opp_First,EE,f,22,t53,pro,4,3.714286,3.428571,3.714286,8,1
no162,4,Opp,unknown,2,1,3,8,t,21,E,E,E,Opp_Second,EE,m,22,t55,ind,4.571429,3.571429,3.857143,3.714286,7,2
no163,5,Opp,best,3,3,6,1,t,33,O,O,O,Opp_First,OO,m,22,t56,pro,4.285714,2.857143,4,4,5,5
no164,2,Opp,worst,1,1,2,6,t,11,E,E,E,Opp_Second,EE,m,21,t57,pro,4.428571,3.714286,4,3.571429,7,2
no165,5,Opp,unknown,3,1,4,4,t,31,Other,O,E,Opp_First,OE,m,18,t11,ind,4.285714,3.714286,3.714286,3.285714,10,1
no166,4,Opp,inequity,2,3,5,7,t,23,Other,E,O,Opp_Second,EO,m,25,t12,pro,3.571429,3.714286,3.857143,3,8,5
no167,4,Opp,best,2,3,5,1,t,23,Other,E,O,Opp_First,EO,m,25,t121,ind,3.714286,4,3.571429,3.285714,4,2
no168,5,Opp,unknown,1,1,2,8,t,11,E,E,E,Opp_Second,EE,m,23,t122,ind,3.142857,3.714286,3,2.285714,8,5
no169,5,Opp,best,2,2,4,5,t,22,E,E,E,Opp_Second,EE,m,21,t141,ind,3.571429,2.714286,3.428571,3,8,3
no170,5,Opp,worst,1,1,2,6,t,11,E,E,E,Opp_Second,EE,m,19,t142,pro,4.714286,3,3.571429,3.714286,8,2
no171,4,Opp,inequity,2,2,4,3,t,22,E,E,E,Opp_First,EE,m,22,t151,ind,4,3,3.857143,3.857143,10,2
no172,4,Opp,worst,2,2,4,2,t,22,E,E,E,Opp_First,EE,m,22,t152,pro,4.428571,4,3.714286,4.142857,6,2
no173,4,Opp,best,2,1,3,5,t,21,E,E,E,Opp_Second,EE,f,22,t211,ind,4.428571,4.285714,3.428571,4.428571,10,1
no174,5,Opp,worst,3,3,6,6,t,33,O,O,O,Opp_Second,OO,f,23,t212,pro,4.428571,4.142857,3.714286,3.571429,3,2
no175,5,Opp,inequity,4,4,8,7,t,44,O,O,O,Opp_Second,OO,f,24,t231,ind,4.714286,2.428571,3.142857,4.857143,5,4
no176,5,Opp,unknown,3,3,6,4,t,33,O,O,O,Opp_First,OO,f,21,t232,ind,4.857143,3.285714,4.428571,3.857143,7,3
no177,4,Opp,best,2,2,4,1,t,22,E,E,E,Opp_First,EE,f,21,t241,pro,4,3.142857,3.714286,4.428571,5,3
no178,3,Opp,inequity,1,1,2,3,t,11,E,E,E,Opp_First,EE,f,18,t242,pro,4,3.285714,3.857143,3.714286,,1
no179,3,Opp,worst,2,2,4,2,t,22,E,E,E,Opp_First,EE,m,20,t321,other,6,6,6,6,,
no180,4,Opp,unknown,1,2,3,8,t,12,E,E,E,Opp_Second,EE,m,23,t322,pro,4.142857,3.714286,4.142857,3.142857,9,2
no181,6,Opp,inequity,3,1,4,3,t,31,Other,O,E,Opp_First,OE,m,19,t331,pro,3,1.857143,3.857143,2.857143,8,1
no182,3,Opp,best,3,3,6,5,t,33,O,O,O,Opp_Second,OO,m,23,t332,pro,3.857143,3,4.571429,3.714286,6,6
no183,5,Opp,unknown,1,1,2,4,t,11,E,E,E,Opp_First,EE,m,21,t351,pro,4.428571,4,3.857143,4,8,3
no184,6,Opp,worst,4,4,8,2,t,44,O,O,O,Opp_First,OO,m,22,t352,ind,2.857143,2.285714,4.428571,3.714286,5,6
no185,4,Opp,worst,1,2,3,6,t,12,E,E,E,Opp_Second,EE,f,23,t411,pro,4.285714,3.714286,3.428571,3.142857,8,2
no186,5,Opp,best,3,3,6,1,t,33,O,O,O,Opp_First,OO,f,21,t412,com,4.285714,3,4.428571,4.285714,3,3
no187,4,Opp,unknown,3,1,4,8,t,31,Other,O,E,Opp_Second,OE,f,23,t421,ind,3.857143,3.285714,3.857143,4.428571,7,3
no188,4,Opp,inequity,2,2,4,7,t,22,E,E,E,Opp_Second,EE,f,23,t422,pro,4,3.428571,3.857143,3.714286,10,1
no189,4,Opp,worst,2,2,4,6,t,22,E,E,E,Opp_Second,EE,f,23,t431,pro,4.142857,3.285714,4.714286,3.142857,7,2
no190,4,Opp,unknown,2,2,4,8,t,22,E,E,E,Opp_Second,EE,f,23,t432,pro,4.142857,3.857143,3.857143,3.285714,5,2
no191,3,Opp,best,1,1,2,5,t,11,E,E,E,Opp_Second,EE,f,22,t441,pro,4,2.714286,3.857143,3.571429,4,3
no192,4,Opp,unknown,1,1,2,4,t,11,E,E,E,Opp_First,EE,f,23,t442,pro,4,2.428571,3.857143,3.571429,8,2
no193,6,Opp,best,3,4,7,1,t,34,O,O,O,Opp_First,OO,f,22,t451,pro,2.857143,2.571429,3.285714,3.571429,3,5
no194,4,Opp,inequity,1,1,2,3,t,11,E,E,E,Opp_First,EE,f,24,t452,pro,4.428571,2.428571,4.142857,4,8,2
no195,4,Opp,inequity,2,2,4,7,t,22,E,E,E,Opp_Second,EE,m,23,t711,pro,3.571429,3.714286,3.142857,3.571429,7,2
no196,3,Opp,unknown,3,3,6,4,t,33,O,O,O,Opp_First,OO,m,22,t721,pro,4,3.714286,3.571429,3.571429,4,3
no197,5,Opp,worst,3,3,6,2,t,33,O,O,O,Opp_First,OO,m,20,t722,pro,4,3,3.857143,3.285714,6,5
no198,4,Opp,best,3,3,6,1,t,33,O,O,O,Opp_First,OO,m,23,t731,ind,3.285714,2.714286,4.714286,3.714286,6,2
no199,2,Opp,best,3,3,6,5,t,33,O,O,O,Opp_Second,OO,m,23,t732,pro,3.428571,2.285714,4,2.857143,5,5
no200,3,Opp,inequity,3,1,4,7,t,31,Other,O,E,Opp_Second,OE,m,21,t741,pro,4.571429,3.571429,4.142857,2.857143,8,2
no201,5,Opp,inequity,3,3,6,3,t,33,O,O,O,Opp_First,OO,m,21,t742,pro,4.285714,3.285714,4,3.857143,5,6
no202,4,Opp,worst,2,1,3,2,t,21,E,E,E,Opp_First,EE,f,20,t811,pro,4,3.714286,3.142857,2.571429,9,1
no203,4,Opp,worst,2,1,3,6,t,21,E,E,E,Opp_Second,EE,f,20,t812,ind,4.142857,3.428571,3.428571,3.428571,5,2
no204,4,Opp,unknown,2,3,5,8,t,23,Other,E,O,Opp_Second,EO,m,25,t911,pro,4.428571,3.142857,4,3.428571,8,2
no205,3,Opp,best,3,2,5,1,t,32,Other,O,E,Opp_First,OE,m,19,t912,pro,3.857143,3.571429,3.714286,3.571429,5,1
no206,6,Opp,worst,1,1,2,6,t,11,E,E,E,Opp_Second,EE,m,24,t931,ind,4,2.857143,3.428571,3.714286,5,4
no207,5,Opp,inequity,4,4,8,3,t,44,O,O,O,Opp_First,OO,m,22,t932,other,4,4,3.428571,3.857143,1,4
no208,4,Opp,unknown,3,1,4,8,t,31,Other,O,E,Opp_Second,OE,m,23,t941,ind,4.142857,2.714286,4.428571,3.142857,5,2
no209,4,Opp,best,1,1,2,5,t,11,E,E,E,Opp_Second,EE,m,19,t942,pro,4,3.142857,4.142857,4.142857,8,1
no210,5,Opp,inequity,4,3,7,7,t,43,O,O,O,Opp_Second,OO,m,22,t952,pro,3.857143,4.142857,3.857143,4.142857,5,5
no211,3,Opp,unknown,3,3,6,4,t,33,O,O,O,Opp_First,OO,f,19,t1031,other,4.285714,4.285714,3.857143,4.142857,8,2
no212,4,Opp,worst,2,2,4,2,t,22,E,E,E,Opp_First,EE,f,22,t1032,ind,4.714286,4.285714,4.428571,3.714286,5,3
no213,3,Opp,worst,3,3,6,2,t,33,O,O,O,Opp_First,OO,m,21,t1041,com,3.857143,3.714286,3.714286,4.142857,5,3
no214,3,Opp,inequity,1,1,2,7,t,11,E,E,E,Opp_Second,EE,m,22,t1042,pro,3.571429,3.285714,4,3.714286,9,5
no215,4,Opp,worst,1,1,2,6,t,11,E,E,E,Opp_Second,EE,m,22,t1051,pro,4,3.428571,3.571429,3.142857,7,3
no216,4,Opp,inequity,3,2,5,3,t,32,Other,O,E,Opp_First,OE,m,21,t1052,pro,4,2.714286,3.857143,3.857143,8,3
no217,6,Opp,best,2,2,4,5,t,22,E,E,E,Opp_Second,EE,m,20,t1121,pro,4,3,3.428571,4.285714,8,5
no218,3,Opp,unknown,2,2,4,8,t,22,E,E,E,Opp_Second,EE,m,20,t1122,pro,3.142857,3.142857,3.714286,3.857143,9,3
no219,3,Opp,best,2,3,5,1,t,23,Other,E,O,Opp_First,EO,m,20,t1131,pro,4.142857,3.142857,3.857143,4.428571,4,4
no220,6,Opp,unknown,4,4,8,4,t,44,O,O,O,Opp_First,OO,m,22,t1132,pro,4,3.857143,4.142857,3.142857,3,6
no221,4,Opp,unknown,3,2,5,8,t,32,Other,O,E,Opp_Second,OE,m,21,t1151,ind,4.142857,3.714286,3.714286,3.714286,8,1
no222,4,Opp,worst,1,1,2,2,t,11,E,E,E,Opp_First,EE,m,21,t1152,pro,3.428571,3.714286,3.285714,3.428571,5,3
no223,2,Opp,worst,1,1,2,6,t,11,E,E,E,Opp_Second,EE,f,22,t1411,pro,4.285714,3.428571,3.571429,3,10,1
no224,4,Opp,inequity,2,2,4,7,t,22,E,E,E,Opp_Second,EE,f,22,t1412,pro,4.142857,3.571429,3,4.142857,7,3
no225,4,Opp,inequity,2,1,3,3,t,21,E,E,E,Opp_First,EE,f,22,t1421,ind,4.285714,3.571429,4.285714,3.285714,9,2
no226,4,Opp,best,3,2,5,5,t,32,Other,O,E,Opp_Second,OE,f,21,t1422,pro,4.285714,3,3.571429,2.571429,8,1
no227,4,Opp,unknown,2,2,4,4,t,22,E,E,E,Opp_First,EE,f,23,t1431,other,3.857143,3.142857,3.285714,4.428571,7,3
no228,4,Opp,best,2,1,3,1,t,21,E,E,E,Opp_First,EE,f,24,t1432,pro,3.285714,3.285714,3.285714,3.428571,9,2
no229,4,Opp,worst,2,2,4,2,t,22,E,E,E,Opp_First,EE,f,23,t1452,pro,3.571429,2.571429,3.857143,2.714286,3,1
no230,5,Opp,unknown,3,3,6,4,t,33,O,O,O,Opp_First,OO,m,24,t1511,ind,3.857143,3.142857,3.571429,2.857143,3,5
no231,5,Opp,best,3,2,5,1,t,32,Other,O,E,Opp_First,OE,m,22,t1512,ind,3.857143,3.285714,3.142857,3.428571,8,4
no232,5,Opp,worst,1,1,2,6,t,11,E,E,E,Opp_Second,EE,m,23,t1521,ind,4.285714,3.428571,3.571429,4.714286,8,3
no233,4,Opp,best,2,2,4,5,t,22,E,E,E,Opp_Second,EE,m,22,t1522,ind,4.428571,3.714286,3.714286,2.714286,10,4
no234,5,Opp,unknown,3,3,6,8,t,33,O,O,O,Opp_Second,OO,m,21,t1541,ind,4.285714,3.571429,3.142857,4.142857,8,3
no235,3,Opp,inequity,1,1,2,7,t,11,E,E,E,Opp_Second,EE,m,20,t1542,pro,3.714286,2.428571,4,2.857143,6,3
no236,4,Opp,worst,2,3,5,6,t,23,Other,E,O,Opp_Second,EO,m,22,t1552,ind,3.714286,2.142857,3.285714,3.142857,1,5
no237,5,Opp,unknown,2,2,4,4,t,22,E,E,E,Opp_First,EE,f,21,t1611,pro,4,3.285714,2.857143,4,5,3
no238,4,Opp,inequity,2,3,5,7,t,23,Other,E,O,Opp_Second,EO,f,21,t1612,ind,3.714286,2.571429,3.428571,4,8,3
no239,3,Opp,best,3,3,6,5,t,33,O,O,O,Opp_Second,OO,f,27,t1621,ind,4.428571,3.285714,3,3.857143,5,4
no240,5,Opp,unknown,2,1,3,8,t,21,E,E,E,Opp_Second,EE,f,21,t1631,pro,4.428571,3.714286,4.428571,4.714286,7,4
no241,5,Opp,best,3,2,5,1,t,32,Other,O,E,Opp_First,OE,f,23,t1632,pro,4.428571,3.714286,4.285714,3.428571,6,3
no242,1,Opp,inequity,1,2,3,3,t,12,E,E,E,Opp_First,EE,f,23,t1641,ind,4.285714,3.714286,3.857143,3.428571,5,6
no243,4,Opp,worst,2,2,4,2,t,22,E,E,E,Opp_First,EE,m,21,t1712,ind,4.571429,3.428571,4.857143,2.857143,8,3
no244,4,Opp,unknown,1,1,2,8,t,11,E,E,E,Opp_Second,EE,m,24,t1721,pro,5,3.285714,4.428571,4.142857,8,2
no245,4,Opp,inequity,2,2,4,7,t,22,E,E,E,Opp_Second,EE,m,25,t1722,other,4.285714,3,3.857143,3.142857,6,5
no246,5,Opp,best,2,2,4,1,t,22,E,E,E,Opp_First,EE,m,20,t1731,ind,3.857143,2.857143,3.285714,3.285714,7,2
no247,3,Opp,worst,2,2,4,6,t,22,E,E,E,Opp_Second,EE,m,23,t1732,pro,4.285714,3.714286,3.857143,4,6,5
no248,4,Opp,unknown,2,2,4,4,t,22,E,E,E,Opp_First,EE,m,22,t1741,pro,4.571429,4.142857,3.857143,4,8,2
no249,4,Opp,best,3,3,6,5,t,33,O,O,O,Opp_Second,OO,m,27,t1742,ind,3,3.428571,2.571429,2,4,2
no250,5,Opp,inequity,3,3,6,3,t,33,O,O,O,Opp_First,OO,m,20,t1751,ind,4.142857,2.857143,3.571429,3.285714,4,4
no251,5,Opp,worst,1,1,2,2,t,11,E,E,E,Opp_First,EE,m,24,t1752,ind,4.285714,3.42857,3.7142857,3.285714,7,1
